Municipio,Seccion,Lista Nominal,Votos Emitidos,Participacion (%),1er Lugar,Votos,2do Lugar,Votos.1,3er Lugar,Votos.2,PAN,PRI,PRD,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM,MORENA,PT,PVEM-MORENA-PT,PVEM-MORENA,PVEM-PT,MORENA-PT,MC,QS,Nulos
Amealco de Bonfil,1,"1,071",769,0.72,MC,363,PAN-PRI,229,PVEM-MORENA-PT,124,86,122,14,0,21,0,0,21,86,5,9,1,2,0,363,8,31
Amealco de Bonfil,2,"1,013",687,0.68,MC,290,PAN-PRI,269,PVEM-MORENA-PT,96,113,140,6,0,16,0,0,16,62,7,10,1,0,0,290,5,20
Amealco de Bonfil,3,"1,642","1,036",0.63,MC,485,PAN-PRI,289,PVEM-MORENA-PT,198,112,146,11,0,31,0,0,19,146,12,18,1,1,1,485,8,45
Amealco de Bonfil,4,"1,824","1,130",0.62,MC,513,PAN-PRI,349,PVEM-MORENA-PT,209,143,181,13,0,25,0,0,25,141,17,20,6,0,0,513,2,41
Amealco de Bonfil,5,"1,709","1,532",0.9,MC,747,PAN-PRI,438,PVEM-MORENA-PT,274,164,242,15,0,32,0,0,41,198,11,14,5,4,1,747,4,51
Amealco de Bonfil,6,"1,032",562,0.54,PAN-PRI,249,MC,151,PVEM-MORENA-PT,115,107,123,12,0,19,0,0,18,78,10,5,2,1,1,151,4,31
Amealco de Bonfil,7,871,477,0.55,MC,179,PAN-PRI,176,PVEM-MORENA-PT,89,63,93,4,0,20,0,0,15,54,8,7,2,3,0,179,4,25
Amealco de Bonfil,8,"1,381",696,0.5,PAN-PRI,268,MC,239,PVEM-MORENA-PT,140,84,156,7,0,28,0,0,15,93,13,14,0,3,2,239,2,40
Amealco de Bonfil,9,"2,093",962,0.46,PAN-PRI,540,MC,204,PVEM-MORENA-PT,163,295,210,7,0,35,0,0,31,97,19,9,4,3,0,204,1,47
Amealco de Bonfil,10,"1,238",673,0.54,MC,263,PAN-PRI,224,PVEM-MORENA-PT,143,81,112,7,0,31,0,0,19,95,7,14,7,1,0,263,2,34
Amealco de Bonfil,11,"1,714","1,084",0.63,MC,481,PAN-PRI,279,PVEM-MORENA-PT,257,131,131,12,0,17,0,0,31,178,18,18,8,2,2,481,5,50
Amealco de Bonfil,12,912,583,0.64,PAN-PRI,192,MC,180,PVEM-MORENA-PT,167,67,104,13,0,21,0,0,28,108,11,11,4,3,2,180,2,29
Amealco de Bonfil,13,"1,787","1,136",0.64,MC,528,PAN-PRI,292,PVEM-MORENA-PT,243,143,125,9,0,24,0,0,39,159,16,19,6,4,0,528,8,56
Amealco de Bonfil,14,"2,692","1,561",0.58,MC,727,PAN-PRI,459,PVEM-MORENA-PT,242,197,211,15,0,51,0,0,37,159,16,11,10,7,2,727,7,104
Amealco de Bonfil,15,"2,432","1,361",0.56,PVEM-MORENA-PT,573,PAN-PRI,344,MC,330,157,151,20,0,36,0,0,53,359,31,96,17,14,3,330,5,87
Amealco de Bonfil,16,"1,205",621,0.52,MC,263,PVEM-MORENA-PT,160,PAN-PRI,155,76,65,4,0,14,0,0,21,106,8,14,8,1,2,263,1,37
Amealco de Bonfil,17,"1,701","1,069",0.63,MC,393,PAN-PRI,371,PVEM-MORENA-PT,240,140,201,8,0,30,0,0,30,165,15,18,5,2,5,393,6,51
Amealco de Bonfil,18,749,455,0.61,MC,177,PVEM-MORENA-PT,130,PAN-PRI,123,56,49,2,0,18,0,0,20,77,12,13,1,6,1,177,2,21
Amealco de Bonfil,20,882,553,0.63,MC,209,PAN-PRI,178,PVEM-MORENA-PT,125,89,71,4,0,18,0,0,16,88,6,10,4,0,1,209,2,34
Amealco de Bonfil,21,710,449,0.63,MC,170,PAN-PRI,144,PVEM-MORENA-PT,114,53,75,5,0,16,0,0,15,69,9,10,6,2,3,170,1,14
Amealco de Bonfil,22,"2,206","1,260",0.57,PVEM-MORENA-PT,451,MC,358,PAN-PRI,345,216,98,25,0,31,0,0,63,283,22,57,20,5,1,358,5,76
