MUNICIPIO,SECCION,LISTA_NOMINAL,VOTOS_EMITIDOS,PARTICIPACION,1ER_LUGAR,1ERO_VOTOS,2DO_LUGAR,2DO_VOTOS,3ER_LUGAR,3RO_VOTOS,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QI,PES,RSP,FxM,PAN_QI,NULOS
VOTO EN EL EXTRANJERO,0,992,638,0.6431451613,PAN,402,MORENA,143,PRI,21,402,21,2,13,4,143,2,11,0,3,2,21,6
AMEALCO DE BONFIL,1,1070,729,0.6813084112,PAN,358,PRI,186,MORENA,129,358,186,2,15,16,129,4,3,2,4,1,0,9
AMEALCO DE BONFIL,2,965,619,0.6414507772,PAN,296,PRI,159,MORENA,108,296,159,1,8,19,108,3,0,0,1,4,0,20
AMEALCO DE BONFIL,3,1571,1238,0.7880330999,PAN,518,PRI,358,MORENA,253,518,358,3,17,25,253,6,2,5,11,17,3,20
AMEALCO DE BONFIL,4,1742,938,0.5384615385,PAN,408,PRI,247,MORENA,179,408,247,5,17,30,179,2,11,1,2,4,1,31
AMEALCO DE BONFIL,5,1636,1014,0.619804401,PAN,433,PRI,291,MORENA,174,433,291,10,13,21,174,6,4,5,16,13,1,26
AMEALCO DE BONFIL,6,977,483,0.494370522,PAN,219,PRI,160,MORENA,51,219,160,4,17,7,51,1,1,0,2,4,0,17
AMEALCO DE BONFIL,7,804,450,0.5597014925,PAN,196,PRI,152,MORENA,44,196,152,5,4,13,44,1,2,7,6,4,1,15
AMEALCO DE BONFIL,8,1313,709,0.5399847677,PAN,319,PRI,253,MORENA,83,319,253,2,6,13,83,2,3,2,2,3,0,21
AMEALCO DE BONFIL,9,1957,906,0.4629535003,PAN,490,PRI,273,MORENA,49,490,273,0,26,8,49,3,2,2,2,7,1,43
AMEALCO DE BONFIL,10,1184,642,0.5422297297,PRI,267,PAN,252,MORENA,64,252,267,1,10,16,64,2,0,7,2,4,1,16
AMEALCO DE BONFIL,11,1575,949,0.6025396825,PAN,386,PRI,274,MORENA,186,386,274,6,10,21,186,4,6,8,3,9,3,32
AMEALCO DE BONFIL,12,881,567,0.6435868331,PRI,209,PAN,157,PAN,157,157,209,1,2,9,157,1,1,2,4,2,2,20
AMEALCO DE BONFIL,13,1762,1045,0.5930760499,PAN,418,PRI,338,MORENA,196,418,338,4,10,16,196,3,4,9,8,5,3,31
AMEALCO DE BONFIL,14,2548,1537,0.6032182104,PAN,649,PRI,558,MORENA,191,649,558,5,23,28,191,4,2,8,6,18,6,39
AMEALCO DE BONFIL,15,2256,1330,0.5895390071,MORENA,573,PAN,311,PRI,293,311,293,4,10,26,573,8,1,15,21,7,5,56
AMEALCO DE BONFIL,16,1122,708,0.6310160428,PAN,362,PRI,171,MORENA,119,362,171,3,3,16,119,4,2,2,4,2,0,20
AMEALCO DE BONFIL,17,1569,988,0.6297004461,PAN,394,PRI,360,MORENA,177,394,360,4,5,8,177,5,1,1,6,5,2,20
AMEALCO DE BONFIL,18,730,446,0.6109589041,PRI,172,PAN,169,MORENA,57,169,172,4,7,7,57,1,3,0,8,3,5,10
AMEALCO DE BONFIL,20,833,533,0.6398559424,PAN,247,PRI,119,MORENA,105,247,119,1,10,10,105,6,3,5,6,1,1,19
AMEALCO DE BONFIL,21,651,401,0.6159754224,PRI,140,MORENA,111,PAN,110,110,140,3,6,7,111,1,0,1,1,1,0,20
AMEALCO DE BONFIL,22,2100,1234,0.5876190476,MORENA,552,PAN,310,PRI,236,310,236,12,17,19,552,9,5,10,8,7,4,45
AMEALCO DE BONFIL,23,2078,1307,0.6289701636,PAN,506,PRI,413,MORENA,293,506,413,4,20,21,293,4,3,0,7,6,2,27
AMEALCO DE BONFIL,24,2300,1608,0.6991304348,PAN,629,PRI,461,MORENA,392,629,461,1,12,10,392,4,1,4,24,4,5,61
AMEALCO DE BONFIL,25,1500,988,0.6586666667,PAN,372,PRI,284,MORENA,230,372,284,6,30,7,230,7,1,8,8,3,2,30
AMEALCO DE BONFIL,26,1475,946,0.6413559322,PAN,381,PRI,341,MORENA,159,381,341,4,4,4,159,1,2,8,3,7,0,32
AMEALCO DE BONFIL,27,1138,753,0.6616871705,PAN,349,MORENA,195,PRI,153,349,153,2,4,5,195,2,2,6,4,13,0,18
AMEALCO DE BONFIL,28,913,568,0.6221248631,PAN,240,PRI,191,MORENA,80,240,191,5,8,7,80,3,0,7,19,2,1,5
AMEALCO DE BONFIL,29,939,564,0.6006389776,PAN,233,MORENA,139,PRI,119,233,119,0,4,8,139,3,5,1,14,1,1,36
AMEALCO DE BONFIL,30,1289,905,0.702094647,PAN,433,PRI,235,MORENA,159,433,235,1,5,11,159,4,1,6,9,11,0,30
AMEALCO DE BONFIL,31,822,466,0.5669099757,PAN,192,MORENA,122,PRI,106,192,106,3,0,3,122,0,3,0,6,3,3,25
AMEALCO DE BONFIL,32,1259,708,0.5623510723,PAN,276,MORENA,184,PRI,167,276,167,5,10,3,184,1,4,5,9,4,3,37
AMEALCO DE BONFIL,33,2306,1298,0.5628794449,PAN,524,PRI,342,MORENA,294,524,342,16,15,12,294,8,5,5,9,3,4,61
AMEALCO DE BONFIL,34,676,497,0.7352071006,PRI,283,PAN,152,MORENA,41,152,283,1,0,4,41,2,0,2,1,0,0,11
ARROYO SECO,35,1807,1262,0.69839513,PAN,576,MORENA,292,PRI,250,576,250,7,10,17,292,9,15,0,5,4,11,65
ARROYO SECO,36,765,503,0.6575163399,PAN,205,MORENA,126,PRI,117,205,117,2,4,3,126,1,2,4,1,0,7,31
ARROYO SECO,37,281,183,0.6512455516,MORENA,74,PAN,65,PRI,29,65,29,0,1,1,74,1,3,0,0,0,1,8
ARROYO SECO,38,195,132,0.6769230769,PAN,65,PRI,32,MORENA,16,65,32,1,1,1,16,0,0,0,2,1,3,10
ARROYO SECO,39,2204,1375,0.6238656987,PAN,615,MORENA,401,PRI,217,615,217,13,6,10,401,2,9,6,12,10,6,64
ARROYO SECO,40,261,188,0.7203065134,PAN,92,MORENA,42,PRI,35,92,35,1,0,4,42,0,0,1,0,4,0,6
ARROYO SECO,41,997,639,0.6409227683,PAN,276,MORENA,165,PRI,132,276,132,10,1,6,165,1,2,7,6,7,1,25
ARROYO SECO,42,1012,643,0.6353754941,PAN,268,MORENA,205,PRI,106,268,106,2,6,5,205,0,8,2,3,1,6,30
ARROYO SECO,43,941,621,0.659936238,PAN,349,PRI,112,MORENA,104,349,112,3,1,2,104,1,3,1,3,3,4,35
ARROYO SECO,44,354,273,0.7711864407,PAN,151,PRI,72,MORENA,38,151,72,1,0,0,38,0,1,1,0,0,2,7
ARROYO SECO,45,2605,1728,0.6633397313,PAN,841,MORENA,536,PRI,210,841,210,4,5,13,536,7,9,6,5,6,14,72
CADEREYTA DE MONTES,46,3277,1782,0.5437900519,PAN,748,MORENA,550,PRI,232,748,232,2,23,71,550,5,9,9,11,57,7,57
CADEREYTA DE MONTES,47,2234,1254,0.5613249776,PAN,634,MORENA,307,PRI,109,634,109,2,19,53,307,6,17,5,11,60,4,27
CADEREYTA DE MONTES,48,2168,1962,0.9049815498,PAN,1002,MORENA,430,PRI,218,1002,218,9,23,52,430,4,38,99,11,32,1,43
CADEREYTA DE MONTES,49,2476,1471,0.5941033926,PAN,763,MORENA,360,PRI,174,763,174,8,19,52,360,6,11,3,10,32,2,31
CADEREYTA DE MONTES,51,824,476,0.5776699029,PAN,249,MORENA,122,PRI,39,249,39,1,8,22,122,2,2,0,5,14,4,8
CADEREYTA DE MONTES,52,1370,454,0.3313868613,MORENA,197,PAN,120,PRI,43,120,43,1,2,23,197,0,2,7,5,40,0,14
CADEREYTA DE MONTES,53,1031,417,0.4044616877,PAN,162,PAN_QI,90,PRI,63,162,63,2,1,27,38,2,4,0,2,9,90,17
CADEREYTA DE MONTES,54,898,585,0.6514476615,PAN,212,PRI,139,PAN_QI,110,212,139,2,1,33,46,0,5,2,2,11,110,22
CADEREYTA DE MONTES,55,1220,769,0.6303278689,PAN,382,MORENA,176,PRI,169,382,169,1,4,15,176,0,1,0,1,9,0,11
CADEREYTA DE MONTES,56,1095,545,0.497716895,PAN,259,MORENA,124,PRI,66,259,66,4,5,33,124,0,0,1,5,8,1,39
CADEREYTA DE MONTES,57,750,403,0.5373333333,PAN,256,MORENA,72,PRI,24,256,24,0,0,17,72,2,1,1,1,7,0,22
CADEREYTA DE MONTES,58,1220,621,0.5090163934,PAN,276,MORENA,114,PRI,112,276,112,5,12,35,114,0,1,2,7,22,0,35
CADEREYTA DE MONTES,59,930,414,0.4451612903,PAN,204,MORENA,70,PRI,43,204,43,4,2,36,70,2,3,2,6,15,2,25
CADEREYTA DE MONTES,60,1726,793,0.4594438007,MORENA,393,PAN,193,PRI,61,193,61,10,6,23,393,4,9,10,16,26,0,41
CADEREYTA DE MONTES,61,2232,1211,0.542562724,PAN,572,MORENA,231,PRI,225,572,225,9,16,71,231,1,17,7,6,17,3,35
CADEREYTA DE MONTES,62,656,292,0.4451219512,PAN,154,MORENA,45,PVEM,37,154,27,3,1,37,45,2,2,2,1,3,1,14
CADEREYTA DE MONTES,63,1241,484,0.390008058,PAN,206,MORENA,114,PRI,94,206,94,2,3,15,114,0,2,4,4,14,0,26
CADEREYTA DE MONTES,64,1004,500,0.4980079681,PAN,229,MORENA,106,PRI,87,229,87,1,5,23,106,0,3,0,6,23,0,17
CADEREYTA DE MONTES,65,2169,1180,0.5440295067,PAN,556,PRI,239,MORENA,234,556,239,2,12,46,234,6,8,6,8,26,1,35
