#,CVE_ENTIDAD,ENTIDAD,CU_MUNICIPIO,MUNICIPIO,DF,DL,SECCION,LISTA_NOMINAL,VOTOS_EMITIDOS,PARTICIPACION,ABSTENCION,1ER_LUGAR,1ERO_VOTOS,PCN,DIF_VOTOS_2DO,DIF_PCN_2DO,2DO_LUGAR,2DO_VOTOS,PCN,DIF_VOTOS_3RO,DIF_PCN_3RO,3ER_LUGAR,3RO_VOTOS,PCN,1PP_MV,VOTOS,PCN,DIF_2DO,PCN,2PP_MV,VOTOS,PCN,DIF_3RO,PCN,3PP_MV,VOTOS,PCN,PAN,PCN,PRI,PCN,PRD,PCN,PVEM,PCN,PT,PCN,MC,PCN,NA,PCN,MORENA,PCN,ES,PCN,CQ,PCN,QI,PCN,MORENA-PT-PES,PCN,P_MORENA-PT,PCN,P_MORENA-PES,PCN,P_PT-PES,PCN,PRI-PVEM,PCN,CC_PAN-PRD-MC,PCN,P_PAN-PRD,PCN,P_PAN-MC,PCN,P_PRD-MC,PCN,CC2_PAN-PRD,PCN,OSM,PCN,JAAG,PCN,PTVF,PCN,ERA,PCN,NSS,PCN,MFELF,PCN,EHR,PCN,CNR,PCN,NULOS,PCN,TOT_VOTOS,VALIDACION
1,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,1,"1,062",825,0.78,0.22,PAN,327,0.40,57,0.07,PRI,270,0.33,202,0.24,MORENA,68,0.08,PAN,327,0.40,57,0.07,PRI,270,0.33,202,0.24,MORENA,68,0.08,327,0.40,270,0.33,11,0.01,23,0.03,9,0.01,25,0.03,32,0.04,68,0.08,5,0.01,4,0,11,0.01,0,0.00,0,0.00,0,0.00,0,0.00,15,0.02,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,1,0.00,24,0.03,825,100.00%
2,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,2,861,642,0.75,0.25,PRI,255,0.40,29,0.05,PAN,226,0.35,176,0.27,MORENA,50,0.08,PRI,255,0.40,29,0.05,PAN,226,0.35,176,0.27,MORENA,50,0.06,226,0.35,255,0.40,11,0.02,18,0.03,0,0.00,20,0.03,17,0.03,50,0.08,1,0.00,4,0,9,0.01,0,0.00,0,0.00,0,0.00,0,0.00,9,0.01,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,1,0.00,21,0.03,642,100.00%
3,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,3,"1,514","1,165",0.77,0.23,PAN,483,0.41,120,0.10,PRI,363,0.31,269,0.23,MORENA,94,0.08,PAN,483,0.41,120,0.10,PRI,363,0.31,269,0.23,MORENA,94,0.15,483,0.41,363,0.31,16,0.01,19,0.02,12,0.01,31,0.03,50,0.04,94,0.08,5,0.00,4,0,21,0.02,3,0.00,1,0.00,0,0.00,0,0.00,8,0.01,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,55,0.05,"1,164",100.00%
4,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,4,"1,647","1,093",0.66,0.34,PAN,395,0.36,76,0.07,PRI,319,0.29,210,0.19,MORENA,109,0.10,PAN,395,0.36,76,0.07,PRI,319,0.29,210,0.19,MORENA,109,0.09,395,0.36,319,0.29,10,0.01,31,0.03,15,0.01,56,0.05,80,0.07,109,0.10,4,0.00,5,0,16,0.01,2,0.00,0,0.00,0,0.00,0,0.00,16,0.01,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,35,0.03,"1,093",100.00%
5,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,5,"1,530","1,102",0.72,0.28,PAN,463,0.42,111,0.10,PRI,352,0.32,266,0.24,MORENA,86,0.08,PAN,463,0.42,111,0.10,PRI,352,0.32,266,0.24,MORENA,86,0.08,463,0.42,352,0.32,10,0.01,30,0.03,2,0.00,19,0.02,47,0.04,86,0.08,8,0.01,2,0,21,0.02,2,0.00,2,0.00,2,0.00,0,0.00,15,0.01,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,41,0.04,"1,100",100.00%
6,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,6,933,545,0.58,0.42,PAN,323,0.59,204,0.37,PRI,119,0.22,87,0.16,NULOS,32,0.06,PAN,323,0.59,204,0.37,PRI,119,0.22,87,0.16,NULOS,32,0.03,323,0.59,119,0.22,2,0.00,16,0.03,2,0.00,4,0.01,7,0.01,22,0.04,2,0.00,1,0,1,0.00,4,0.01,0,0.00,0,0.00,0,0.00,10,0.02,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,32,0.06,545,100.00%
7,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,7,723,460,0.64,0.36,PAN,244,0.53,108,0.23,PRI,136,0.30,111,0.24,MORENA,25,0.05,PAN,244,0.53,108,0.23,PRI,136,0.30,111,0.24,MORENA,25,0.05,244,0.53,136,0.30,5,0.01,11,0.02,9,0.02,6,0.01,6,0.01,25,0.05,3,0.01,0,0,3,0.01,2,0.00,0,0.00,0,0.00,0,0.00,6,0.01,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,4,0.01,460,100.00%
8,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,8,"1,228",803,0.65,0.35,PAN,414,0.52,179,0.22,PRI,235,0.29,190,0.24,NULOS,45,0.06,PAN,414,0.52,179,0.22,PRI,235,0.29,190,0.24,NULOS,45,0.10,414,0.52,235,0.29,12,0.01,18,0.02,8,0.01,4,0.00,8,0.01,36,0.04,6,0.01,2,0,5,0.01,0,0.00,0,0.00,0,0.00,0,0.00,10,0.01,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,45,0.06,803,100.00%
9,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,9,"1,802",940,0.52,0.48,PAN,550,0.59,333,0.35,PRI,217,0.23,164,0.17,NULOS,53,0.06,PAN,550,0.59,333,0.35,PRI,217,0.23,164,0.17,NULOS,53,0.07,550,0.59,217,0.23,6,0.01,16,0.02,7,0.01,2,0.00,7,0.01,32,0.03,5,0.01,11,0,1,0.00,2,0.00,3,0.00,3,0.00,0,0.00,25,0.03,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,53,0.06,937,100.00%
10,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,10,"1,081",639,0.59,0.41,PAN,310,0.49,108,0.17,PRI,202,0.32,171,0.27,NULOS,31,0.05,PAN,310,0.49,108,0.17,PRI,202,0.32,171,0.27,NULOS,31,0.03,310,0.49,202,0.32,6,0.01,19,0.03,5,0.01,6,0.01,14,0.02,16,0.03,4,0.01,2,0,0,0.00,2,0.00,1,0.00,1,0.00,0,0.00,20,0.03,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,31,0.05,638,100.00%
